x,axav,err
0.46,0.062,0.104
0.617,0.125,0.081
0.812,0.324,0.069
1.837,1.021,0.012
2.284,1.349,0.012
2.756,1.514,0.037
3.323,1.888,0.01
3.462,1.968,0.009
3.607,2.091,0.01
3.759,2.174,0.009
3.916,2.328,0.011
4.08,2.409,0.01
4.251,2.571,0.015
4.43,2.735,0.012
4.615,2.894,0.014
4.809,3.026,0.014
5.011,3.162,0.015
5.221,3.272,0.016
5.439,3.435,0.016
5.668,3.615,0.018
5.905,3.804,0.023
6.153,3.973,0.019
6.411,4.167,0.024
6.679,4.428,0.021
6.959,4.654,0.021
7.251,4.914,0.023
7.555,5.173,0.036
7.872,5.511,0.031
8.202,5.377,0.108
8.546,5.899,0.036
8.904,6.929,0.203
