sightline,rv_pub,rv_pub_err
2dfs0413,2.168514953,0.5428375
2dfs0626,2.354570337,0.36769915
2dfs0662,2.561575071,0.3373392
2dfs0699,2.521650579,0.41901702
2dfs3014,2.680722437,0.37135792
2dfs3171,2.415284781,0.16327503
azv18,2.584875626,0.36973417
azv214,2.591856967,0.2475387
azv218,4.827420116,0.7961705
azv23,3.170376699,0.20557855
azv398,3.594972191,0.21448858
bbb-smc280,5.610533361,0.73801
mr12-star09,2.918237406,1.9015195
smc5-000398,2.079612389,0.48521778
smc5-003739,5.203909562,0.6559679
smc5-079264,2.003777502,0.24277903
