x,axav,err
1.83797299506097,1.0194,0.0035
2.2828479866239375,1.4174,0.0748
2.746813135285477,1.5716,0.1024
3.1878950852665926,2.1862,0.2124
3.1910859966347287,1.4477,0.0802
3.194281173660933,1.9015,0.1614
3.197478489910786,1.7108,0.1273
3.2006794655313753,1.6412,0.1148
3.203884409188654,1.5885,0.1054
3.2070911797525943,2.2589,0.2254
3.210301611769947,1.5757,0.1031
3.213516323464401,2.1184,0.2003
3.216733779353732,1.5306,0.095
3.2199536675801945,1.9207,0.1649
3.2231769122297402,2.0061,0.1802
3.2264044447923097,1.9033,0.1618
3.2296350282202018,1.4101,0.0734
3.2328677269842987,2.0604,0.1899
3.236103782751578,1.724,0.1297
3.239344447145419,1.7786,0.1394
3.2425869082118317,1.7844,0.1405
3.2458327271376524,2.0889,0.195
3.2490831630251087,1.9031,0.1617
3.252335386928812,1.6919,0.1239
3.2555909693782006,1.815,0.1459
3.2588508604949302,1.6974,0.1249
3.2621137980270665,1.9863,0.1766
3.2653791451091716,1.5863,0.105
3.268647851807878,2.3347,0.239
3.2719208758033673,2.0674,0.1911
3.2751969446204656,1.7458,0.1336
3.278475416196578,1.3624,0.0649
3.281757248155711,1.734,0.1314
3.285043084184386,1.6631,0.1187
3.2883313173118514,1.744,0.1332
3.291623233769732,2.2488,0.2236
3.2949188359032924,1.891,0.1596
3.2982184502445673,1.8497,0.1521
3.3015198071419314,1.7182,0.1286
3.3048248501821846,1.8515,0.1525
3.3081335816488404,1.8709,0.156
3.3114463306175166,1.7477,0.1339
3.314761136570865,2.0509,0.1882
3.3180789762640854,1.9722,0.1741
3.3214014918299366,1.8582,0.1537
3.3247260559689034,1.8885,0.1591
3.328054311433198,1.7798,0.1396
3.33138692189828,1.7082,0.1268
3.334721573613722,1.8749,0.1567
3.338059587088321,1.765,0.137
3.3414019606808263,1.9267,0.1659
3.344747700278818,1.8483,0.1519
3.3480958037586515,2.1709,0.2097
3.3514472694206696,1.9445,0.1691
3.354803438984185,1.9826,0.176
3.3581623040175623,1.9349,0.1674
3.3615235237497587,2.1869,0.2125
3.3648884418562908,1.7001,0.1254
3.368258074670892,2.0119,0.1812
3.3716297199595826,1.9254,0.1657
3.3750047274000106,1.8878,0.159
3.3783841173488574,2.1493,0.2058
3.3817658508532866,1.9224,0.1652
3.385150946188656,1.8897,0.1593
3.3885404297939696,1.8879,0.159
3.3919332790223944,1.9757,0.1747
3.395328806556379,1.7519,0.1346
3.3987273523227715,1.9918,0.1776
3.4021306387556436,2.0712,0.1918
3.4055369457028157,1.548,0.0981
3.4089462708259872,1.9592,0.1718
3.4123586117572215,1.9063,0.1623
3.415775009255985,1.5722,0.1025
3.419194421916068,1.7216,0.1292
3.4226171964052474,2.0024,0.1795
3.4260440319712337,1.9098,0.1629
3.4294749324186276,1.7881,0.1411
3.43290779424958,1.8524,0.1526
3.436344368191458,1.6305,0.1129
3.4397846558916694,1.9371,0.1678
3.443229365645954,2.1246,0.2014
3.4466760250478097,2.0827,0.1939
3.450126044065092,1.9425,0.1688
3.453580488519829,1.8709,0.1559
3.4570379395602076,1.9171,0.1642
3.460498394458324,2.0419,0.1866
3.4639632808515,2.0192,0.1825
3.467430454650811,1.7925,0.1419
3.4709017039100574,1.8618,0.1543
3.474377032255046,2.0673,0.1911
3.477855722358871,1.9926,0.1778
3.481337412306267,2.0863,0.1945
3.484822099183112,2.1043,0.1977
3.488311593262741,2.0608,0.19
3.4918040856100165,1.9033,0.1251
3.4952992091354527,1.9558,0.1324
3.498798417938676,1.9477,0.1312
3.5023017155358493,2.2224,0.1693
3.5058076402720313,2.4271,0.1976
3.509316920893815,2.0637,0.1473
3.512830659747042,1.9522,0.1705
3.5163470200196763,1.992,0.1776
3.51986710401664,2.1428,0.2046
3.5233916529013523,1.8981,0.1608
3.526919560171864,2.2579,0.2252
3.530450081873529,2.1244,0.2013
3.5339843290866524,1.8566,0.1534
3.5375226758989253,2.0168,0.1821
3.541064751979331,2.0084,0.1806
3.5446090606621703,2.1567,0.2071
3.548157470010398,2.3069,0.234
3.5517103592829393,2.1512,0.2061
3.555265473851642,2.1517,0.2062
3.5588243155126422,1.9465,0.1695
3.562388019896627,2.1952,0.1655
3.565954699971721,3.1553,0.2985
3.569524352163713,2.3077,0.1811
3.5730973533501165,2.7769,0.2461
3.576675227168823,3.3827,0.33
3.5802564533467782,2.224,0.1695
3.583840264932039,2.0623,0.1471
3.5874278065375576,2.1889,0.1647
3.5910202319503366,2.2874,0.2305
3.5946144682601573,2.1195,0.2005
3.5982128198487886,2.0246,0.1835
3.601815676444886,1.9654,0.1729
3.60542110645268,2.0572,0.1893
3.6090302681816775,2.1101,0.1988
3.612644329225942,2.0795,0.1933
3.6162609588949564,1.9244,0.1655
3.6198809318964322,1.765,0.137
3.6235046378512816,2.0184,0.1824
3.627132861569274,2.323,0.2369
3.6307648226548843,2.1129,0.1993
3.634399340760465,2.0586,0.1896
3.638037592715692,1.7912,0.1417
3.6416799743173383,2.0112,0.1811
3.6453256964341256,2.1519,0.2063
3.648974360396447,2.0685,0.1913
3.6526279500055563,2.0311,0.1846
3.656284480855477,2.0871,0.1947
3.6599443478344336,2.207,0.2161
3.6636091490128773,2.0407,0.1864
3.66727728878098,2.0356,0.1854
3.6709483635257674,1.9023,0.1616
3.6746231736359194,2.0768,0.1928
3.6783025259091504,2.0102,0.1809
3.681985617463145,2.0942,0.1959
3.685671234098511,2.0437,0.1869
3.6893609914197127,2.1737,0.2102
3.693054485665082,2.3202,0.2364
3.696751717082378,2.3591,0.2434
3.700452277804509,2.0226,0.1831
3.704157392317367,2.0728,0.1921
3.707866246254224,2.1694,0.2094
3.7115780186795466,2.3137,0.2352
3.7152931161777594,2.124,0.2013
3.7190131851806196,2.1264,0.2017
3.722736168089681,2.1574,0.2072
3.726462473871009,2.2487,0.2236
3.730194173483702,2.504,0.2693
3.7339287838536652,2.0649,0.1907
3.737666716347119,2.0539,0.1887
3.7414079684474273,2.0864,0.1945
3.745154209655841,1.979,0.1753
3.748903353188538,2.2835,0.2298
3.7526562333116917,2.2502,0.2239
3.7564136909743007,2.0133,0.1814
3.7601748883526858,2.2121,0.217
3.763938558650178,2.0661,0.1909
3.7677063863339373,2.2262,0.2196
3.7714787976472683,2.0467,0.1874
3.7752553726995632,2.2466,0.2232
3.7790344113627707,2.2515,0.2241
3.78281718509219,2.0275,0.184
3.7866049755398437,2.1386,0.2039
3.7903956492231337,2.1034,0.1976
3.7941896296952975,2.1549,0.2068
3.797988633572501,2.0663,0.1909
3.801790514454243,2.4301,0.2561
3.805596129987437,2.1728,0.21
3.8094067771691478,2.2911,0.2312
3.813221163298179,2.2989,0.2326
3.817037985261468,2.1735,0.2101
3.820859410148616,2.3183,0.1826
3.8246850066960185,2.0579,0.1465
3.828514776970835,2.3001,0.1801
3.832346972211902,2.4161,0.1961
3.836182899675174,2.5079,0.2088
3.840024316560232,2.4381,0.1992
3.843868590737512,3.2491,0.3115
3.847716157470636,2.8774,0.26
3.851568781826485,2.4254,0.1974
3.8554255850625494,2.6787,0.2325
3.8592847935854393,2.3854,0.1919
3.863148177698383,2.6763,0.2322
3.867015739268258,2.5265,0.2114
3.8708865870442213,2.326,0.2374
3.874761612385405,2.3493,0.2416
3.8786412654421487,2.395,0.2498
3.8825251014616837,2.3424,0.2404
3.886411321665138,2.4185,0.254
3.89030172116447,2.3685,0.2451
3.894197205577518,2.375,0.2462
3.8980955177938794,2.1297,0.2023
3.9019975588699345,2.2618,0.2259
3.905904237084427,2.1726,0.21
3.909815556819945,2.2064,0.216
3.9137292400005186,2.2244,0.2192
3.917647106899111,2.3464,0.2411
3.92156961742457,2.3116,0.2349
3.9254963166627643,2.3386,0.2397
3.9294253655346734,2.3306,0.2383
3.9333590599259245,2.327,0.2376
3.937297404108963,2.3279,0.2378
3.9412385506285936,2.2318,0.2206
3.9451838841889333,2.2519,0.2242
3.949134335806267,2.2341,0.221
3.9530871181842837,2.3109,0.2347
3.957044554799892,2.2949,0.2319
3.9610066498347103,2.1552,0.2069
3.964972938941338,2.2824,0.2296
3.9689415456269805,2.0891,0.195
3.9729148119472915,2.3122,0.235
3.9768927420212195,2.2186,0.2182
3.980874867672673,2.3278,0.2378
3.9848597704643915,2.3446,0.2408
3.9888483914760484,2.3104,0.2346
3.992842629597038,2.4615,0.2617
3.996839161991994,2.4142,0.2532
4.000840602107193,2.065,0.1907
4.004846477391152,2.4145,0.2533
4.008855114082861,2.3153,0.2355
4.012867944391987,2.537,0.2752
4.016885931138121,2.1833,0.2119
4.020908117488719,2.4058,0.2517
4.024933538891706,2.3412,0.2402
4.028962190572598,2.3742,0.2461
4.032996733764224,2.3229,0.2369
4.037034751089825,2.133,0.2029
4.041075752454598,2.4214,0.2545
4.045120950621325,2.1376,0.2037
4.049171323755101,2.2392,0.2219
4.053224920163224,2.2199,0.2184
4.0572822254234175,2.2593,0.2255
4.0613447121498165,2.4692,0.2631
4.065411155662509,2.4529,0.2602
4.069480814962651,2.1058,0.198
4.073553932162979,2.3674,0.2449
4.077632733415157,2.636,0.293
4.081715738811266,2.3469,0.2412
4.085801954033919,2.3273,0.2377
4.089891373791014,2.4329,0.2566
4.093986740041229,2.2225,0.2189
4.098085311110762,2.3565,0.2429
4.102187081602385,2.5059,0.2697
4.106294558654586,2.4212,0.2545
4.110405486023405,2.5803,0.283
4.114519607449424,2.2824,0.2296
4.118639445094311,2.34,0.2399
4.12276348888638,2.3029,0.2333
4.126890724159514,2.5982,0.2862
4.131021145264516,2.3221,0.2367
4.135158058940834,2.4595,0.2613
4.13929892621894,2.3474,0.2413
4.143442210999428,2.4382,0.2575
4.147589440902772,2.6366,0.2931
4.151742669507461,2.451,0.2598
4.1558985621561355,2.3532,0.2423
4.160058657138105,2.4183,0.254
4.1642242466821235,2.5742,0.2819
