x,axav,err
0.8118108563606351,0.3483,0.0568
1.8344203549044336,1.0231,0.0019
2.278659474976561,1.3303,0.0276
2.7371323845806654,1.4775,0.0399
3.1815215088906803,1.682,0.057
3.1847069218031354,1.6934,0.058
3.1878950852665926,1.6908,0.0578
3.1910859966347287,1.6714,0.0562
3.194281173660933,1.6909,0.0578
3.197478489910786,1.6686,0.0559
3.2006794655313753,1.7046,0.0589
3.203884409188654,1.6653,0.0556
3.2070911797525943,1.6616,0.0553
3.210301611769947,1.6543,0.0547
3.213516323464401,1.698,0.0584
3.216733779353732,1.7062,0.0591
3.2199536675801945,1.6789,0.0568
3.2231769122297402,1.6809,0.0569
3.2264044447923097,1.7068,0.0591
3.2296350282202018,1.6821,0.057
3.2328677269842987,1.7027,0.0588
3.236103782751578,1.716,0.0599
3.239344447145419,1.7186,0.0601
3.2425869082118317,1.7348,0.0615
3.2458327271376524,1.6949,0.0581
3.2490831630251087,1.7201,0.0602
3.252335386928812,1.7483,0.0626
3.2555909693782006,1.719,0.0601
3.2588508604949302,1.7058,0.059
3.2621137980270665,1.7065,0.0591
3.2653791451091716,1.7149,0.0598
3.268647851807878,1.7143,0.0597
3.2719208758033673,1.7338,0.0614
3.2751969446204656,1.7426,0.0621
3.278475416196578,1.6988,0.0584
3.281757248155711,1.7236,0.0605
3.285043084184386,1.6941,0.058
3.2883313173118514,1.7221,0.0604
3.291623233769732,1.7463,0.0624
3.2949188359032924,1.7219,0.0604
3.2982184502445673,1.7288,0.061
3.3015198071419314,1.7417,0.062
3.3048248501821846,1.7495,0.0627
3.3081335816488404,1.7372,0.0617
3.3114463306175166,1.7494,0.0627
3.314761136570865,1.7595,0.0635
3.3180789762640854,1.7318,0.0612
3.3214014918299366,1.7511,0.0628
3.3247260559689034,1.7227,0.0604
3.328054311433198,1.7564,0.0633
3.33138692189828,1.7415,0.062
3.334721573613722,1.739,0.0618
3.338059587088321,1.7418,0.062
3.3414019606808263,1.7736,0.0647
3.344747700278818,1.7658,0.0641
3.3480958037586515,1.8132,0.068
3.3514472694206696,1.7935,0.0664
3.354803438984185,1.7886,0.066
3.3581623040175623,1.7575,0.0634
3.3615235237497587,1.7548,0.0631
3.3648884418562908,1.7838,0.0656
3.368258074670892,1.7773,0.065
3.3716297199595826,1.7971,0.0667
3.3750047274000106,1.7744,0.0648
3.3783841173488574,1.7715,0.0645
3.3817658508532866,1.8112,0.0678
3.385150946188656,1.8069,0.0675
3.3885404297939696,1.7952,0.0665
3.3919332790223944,1.807,0.0675
3.395328806556379,1.8222,0.0688
3.3987273523227715,1.795,0.0665
3.4021306387556436,1.8018,0.0671
3.4055369457028157,1.7351,0.0615
3.4089462708259872,1.8142,0.0681
3.4123586117572215,1.8007,0.067
3.415775009255985,1.8283,0.0693
3.419194421916068,1.8242,0.0689
3.4226171964052474,1.829,0.0693
3.4260440319712337,1.8042,0.0673
3.4294749324186276,1.8022,0.0671
3.43290779424958,1.7974,0.0667
3.436344368191458,1.8122,0.0679
3.4397846558916694,1.8006,0.067
3.443229365645954,1.811,0.0678
3.4466760250478097,1.8183,0.0684
3.450126044065092,1.8434,0.0705
3.453580488519829,1.8353,0.0699
3.4570379395602076,1.8533,0.0714
3.460498394458324,1.8321,0.0696
3.4639632808515,1.8355,0.0699
3.467430454650811,1.8719,0.0729
3.4709017039100574,1.8596,0.0719
3.474377032255046,1.8847,0.074
3.477855722358871,1.8759,0.0733
3.481337412306267,1.867,0.0725
3.484822099183112,1.8538,0.0714
3.488311593262741,1.8823,0.0738
3.4918040856100165,1.8905,0.0577
3.4952992091354527,1.8941,0.058
3.498798417938676,1.9043,0.0586
3.5023017155358493,2.0034,0.0651
3.5058076402720313,2.1247,0.0729
3.509316920893815,1.9816,0.0636
3.512830659747042,1.9375,0.0784
3.5163470200196763,1.8967,0.075
3.51986710401664,1.8969,0.075
3.5233916529013523,1.8406,0.0703
3.526919560171864,1.9195,0.0769
3.530450081873529,1.9399,0.0786
3.5339843290866524,1.926,0.0774
3.5375226758989253,1.8741,0.0731
3.541064751979331,1.8742,0.0731
3.5446090606621703,1.9079,0.0759
3.548157470010398,1.9009,0.0753
3.5517103592829393,1.8993,0.0752
3.555265473851642,1.9315,0.0779
3.5588243155126422,1.9589,0.0802
3.562388019896627,2.0062,0.0652
3.565954699971721,2.2931,0.0838
3.569524352163713,2.3471,0.0873
3.5730973533501165,2.322,0.0857
3.576675227168823,2.4647,0.095
3.5802564533467782,2.2031,0.078
3.583840264932039,2.0091,0.0654
3.5874278065375576,1.9492,0.0615
3.5910202319503366,1.9471,0.0792
3.5946144682601573,1.9392,0.0786
3.5982128198487886,1.9472,0.0792
3.601815676444886,1.953,0.0797
3.60542110645268,1.9536,0.0798
3.6090302681816775,1.9822,0.0822
3.612644329225942,1.9732,0.0814
3.6162609588949564,1.9796,0.0819
3.6198809318964322,1.9255,0.0774
3.6235046378512816,1.9934,0.0831
3.627132861569274,2.0136,0.0848
3.6307648226548843,2.0032,0.0839
3.634399340760465,2.0232,0.0856
3.638037592715692,2.0141,0.0848
3.6416799743173383,2.0118,0.0846
3.6453256964341256,1.9967,0.0834
3.648974360396447,1.9929,0.083
3.6526279500055563,1.9943,0.0832
3.656284480855477,1.9864,0.0825
3.6599443478344336,1.9897,0.0828
3.6636091490128773,1.9932,0.0831
3.66727728878098,2.0149,0.0849
3.6709483635257674,1.9997,0.0836
