x,axav,err
0.8124986318894414,0.396,0.1139
1.837500138273473,1.0143,0.0026
2.283645790775848,1.1865,0.0337
2.7485575664839863,1.3073,0.0555
3.3343981461008845,1.5345,0.0966
3.3373680148316716,1.3441,0.0622
3.3403431786608637,1.3852,0.0696
3.3433239848871823,1.2145,0.0388
3.3463097820807888,1.3293,0.0595
3.349300917048225,1.254,0.0459
3.352297069200556,1.2157,0.039
3.355299257661847,1.3394,0.0613
3.358306492115178,1.3602,0.0651
3.361319458677661,1.342,0.0618
3.3643374990462287,1.3245,0.0586
3.3673613018556576,1.3946,0.0713
3.370390206487732,1.395,0.0714
3.373424564958599,1.3732,0.0674
3.376464392011787,1.5833,0.1054
3.3795097024440146,1.464,0.0838
3.3825605111054293,1.4494,0.0812
3.385616832899853,1.4254,0.0769
3.388679025009389,1.461,0.0833
3.3917464186170263,1.5033,0.0909
3.394819713861075,1.5031,0.0909
3.3978982395541095,1.3489,0.063
3.4009823537162607,1.4673,0.0844
3.4040720715785353,1.4421,0.0799
3.4071674084273353,1.464,0.0838
3.4102687262036864,1.4029,0.0728
3.4133753477393673,1.3395,0.0613
3.41648798232173,1.5765,0.1042
3.4196059503679437,1.4123,0.0745
3.422729614676031,1.4562,0.0824
3.4258589908701422,1.5104,0.0922
3.4289940946316206,1.4237,0.0766
3.4321352927572493,1.4507,0.0814
3.435281547869572,1.4745,0.0857
3.438434281344823,1.2516,0.0455
3.4415924539897813,1.5158,0.0932
3.4447567871224383,1.5454,0.0986
3.4479265901345193,1.416,0.0752
3.451102587059406,1.5036,0.091
3.45428408480254,1.4579,0.0827
3.457471810128158,1.4478,0.0809
3.460665067442083,1.4242,0.0767
3.4638642286760986,1.4489,0.0811
3.467069310218733,1.4181,0.0755
3.470280687424029,1.4396,0.0794
3.4734976596583405,1.3732,0.0674
3.4767209619722874,1.4225,0.0763
3.4799498911920366,1.4549,0.0822
3.483185185162118,1.3438,0.0621
3.4864261381547927,1.5829,0.1053
3.489673490824567,1.4469,0.0807
3.4929265348759864,1.5598,0.0727
3.496185649506535,1.4985,0.0647
3.499450851724751,1.4999,0.0649
3.5027228898960368,1.5284,0.0686
3.5060003199390466,1.5234,0.0679
3.5092842559997957,1.4662,0.0605
3.512573981995804,1.4928,0.089
3.515870618381436,1.5844,0.1056
3.519172341259881,1.5197,0.0939
3.522481010771279,1.302,0.0546
3.5257955371741034,1.6219,0.1124
3.5291166783271644,1.6138,0.1109
3.5324437102330175,1.5526,0.0998
3.5357773936764634,1.4518,0.0816
3.5391173752773577,1.5616,0.1015
3.5424636729007557,1.5124,0.0926
3.5458159297803498,1.5041,0.0911
3.5491745371953547,1.5595,0.1011
3.5525395132086195,1.5486,0.0991
3.5559108759515574,1.5225,0.0944
3.5592886436244746,1.5409,0.0977
3.5626732127670193,1.6399,0.0831
3.5660638458983724,1.7733,0.1004
3.5694609389793217,1.7628,0.099
3.5728648909264833,1.7007,0.091
3.576274578977268,1.8928,0.1159
3.579691163064601,1.7927,0.1029
3.5831142814428807,1.7281,0.0945
3.586543569519411,1.7413,0.0962
3.589979812106766,1.7061,0.0916
3.5934226454892277,1.5656,0.1022
3.59687170307978,1.4761,0.086
3.600327774324567,1.5511,0.0996
3.6037904935219824,1.4868,0.088
3.6072594920746455,1.5569,0.1006
3.6107351755586268,1.4937,0.0892
3.6142179526107734,1.482,0.0871
3.6177074548568657,1.5746,0.1038
3.6212033109938386,1.6226,0.1125
3.624706321441438,1.5316,0.0961
3.628216115802119,1.5496,0.0993
3.6317327138015214,1.5663,0.1023
3.6352565290821652,1.4622,0.0835
3.638787189213522,1.363,0.0656
3.6423243187853545,1.5039,0.091
3.645868727815293,1.6174,0.1116
3.6494200418165033,1.594,0.1073
3.6529786786760305,1.5105,0.0922
3.656544262533752,1.5963,0.1077
3.660116813751932,1.4381,0.0792
3.6636967527992996,1.5183,0.0937
3.6672837017382816,1.5148,0.093
3.670877681178193,1.533,0.0963
3.674478711809223,1.6079,0.1098
3.678086814402822,1.5181,0.0936
3.6817028177490596,1.4841,0.0875
3.6853255332637156,1.573,0.1035
3.6889561962705235,1.4593,0.083
3.6925932072302325,1.4879,0.0882
3.696238211190907,1.487,0.088
3.699890418317981,1.5579,0.1008
3.703549849984653,1.4637,0.0838
3.707216937235661,1.5608,0.1013
3.7108912936515424,1.5826,0.1053
3.714572940867934,1.5062,0.0915
3.71826231263763,1.5436,0.0982
3.7219586075257713,1.5056,0.0914
3.7256626723141215,1.4991,0.0902
3.729374531458482,1.6587,0.119
3.733093794192518,1.6111,0.1104
3.7368204826888904,1.4593,0.083
3.740555036195541,1.5207,0.0941
3.7442970617455136,1.6288,0.1136
3.7480461631276043,1.6373,0.1152
3.7518036188550257,1.6779,0.1225
3.755568615920545,1.6377,0.1152
3.7593407558649172,1.5059,0.0914
3.7631209030297255,1.5408,0.0977
3.7669090828670044,1.5385,0.0973
3.7707048972008996,1.4961,0.0896
3.7745087937250874,1.5616,0.1015
3.7783203727600503,1.5125,0.0926
3.7821392312935362,1.7294,0.1318
3.785966244473416,1.8725,0.1577
3.7898014383756897,1.5838,0.1055
3.7936448391876634,1.6707,0.1212
3.7974951838729525,1.3984,0.072
3.8013542135872704,1.5764,0.1041
3.805221094402607,1.6172,0.1115
3.809095850302666,1.5036,0.091
3.812978938659148,1.5722,0.1034
3.816869952131057,1.5578,0.1008
3.820768479942647,1.8097,0.1051
3.824675851667316,1.6183,0.0803
3.8285912234492887,1.5851,0.0759
3.832514619883041,1.5823,0.0756
3.8364465043040843,1.567,0.0736
3.8403860251303183,1.8305,0.1078
3.8443345258934727,2.025,0.1331
3.8482911543314158,1.8327,0.1081
3.852255935565265,1.7527,0.0977
3.8562288948197634,1.8262,0.1072
3.8602100574238256,1.6822,0.0885
3.86420033883006,1.8675,0.1126
3.8681988782436845,1.7873,0.1022
3.872205254471259,1.8421,0.1522
3.876220386064454,1.8996,0.1625
3.88024385296755,1.8976,0.1622
3.884276130808845,1.8544,0.1544
3.888317248487203,1.6922,0.1251
3.8923663319867106,1.586,0.1059
3.8964243097330624,1.6734,0.1217
3.90049121098847,1.6078,0.1098
3.904566610788119,1.6088,0.11
3.9086500804924142,1.6927,0.1252
3.9127430127989857,1.6272,0.1133
3.916844525896787,1.6556,0.1185
3.920955104975988,1.6714,0.1213
3.92507432091146,1.7628,0.1378
3.929202661059636,1.5832,0.1054
3.933339233539743,1.5615,0.1015
3.937484987020924,1.6503,0.1175
3.941639952025243,1.6003,0.1085
3.9458032312036404,1.5881,0.1063
3.949976709398867,1.6677,0.1206
3.954158559551837,1.7012,0.1267
3.9583497407180994,1.6202,0.1121
3.9625498161348114,1.7142,0.129
3.9667588141442445,1.6882,0.1244
3.9709767632092094,1.7002,0.1265
3.9752046338011007,1.5974,0.1079
3.979441988703909,1.5667,0.1024
3.9836879138763273,1.484,0.0874
3.9879429092330976,1.6877,0.1243
