x,axav,err
0.9074267845226367,0.4392,0.3666
1.2637578690079143,0.6271,0.2437
1.795238063136737,0.9824,0.0115
2.1405148167214962,1.282,0.1843
2.989875595724196,1.6625,0.4331
3.176980753921515,2.577,1.0308
3.18168984489438,1.0853,0.0558
3.1832624443429562,3.3679,1.5477
3.1864129167239614,1.4855,0.3173
3.189569328133485,3.5925,1.6946
3.19114972827454,0.7478,0.1649
3.1927319991284184,4.9621,2.5898
3.194315535745905,1.7076,0.4625
3.1959006439532116,1.6337,0.4142
3.1974876307878435,0.7362,0.1725
3.2006657268476735,5.3078,2.8158
3.2022571451721165,4.06,2.0001
3.203850146837262,3.1513,1.4062
3.2054447342072447,3.6574,1.737
3.2070409096509045,2.2407,0.811
3.2102383413899194,8.0972,4.639
3.2118392956213335,0.6092,0.2555
3.2134418474495727,1.6556,0.4285
3.2150459992672005,2.6959,1.1085
3.21665175347156,2.9126,1.2501
3.2182591124647866,2.1903,0.778
3.219867769676767,2.2558,0.8208
3.221478654450411,1.6691,0.4374
3.2230908422711457,18.6548,11.5399
3.2247043346314705,3.8409,1.8569
3.2295554514577227,1.6514,0.4258
3.232797334715561,3.6063,1.7036
3.2344205623755378,1.8122,0.5309
3.2360457330295676,1.2278,0.1489
3.2376725376748245,1.2787,0.1822
3.239300666058988,1.5129,0.3353
3.2425621535422415,1.8971,0.5864
3.2441955182258617,1.5515,0.3605
3.2458302152973233,2.2084,0.7899
3.247466560593545,0.4441,0.3634
3.249104871222204,2.0013,0.6545
3.250744520772759,2.3783,0.9009
3.2523858260458334,2.5413,1.0074
3.2540287895506226,4.7056,2.4221
3.2556737296884437,1.773,0.5052
3.2573200175241057,2.5055,0.9841
3.2589679711500446,0.399,0.3928
3.260617909943037,5.4483,2.9076
3.262269203064358,1.5668,0.3705
3.2655768120365227,3.2692,1.4833
3.267233132982485,3.662,1.74
3.268890816516601,2.8385,1.2017
3.270550820570773,0.7624,0.1553
3.2738749334213018,1.4813,0.3146
3.275539684925917,1.4674,0.3055
3.2772061303300184,3.4131,1.5773
3.278874272220258,4.4446,2.2515
3.280544113188558,4.4371,2.2466
3.282215334773535,1.4451,0.2909
3.283888581367436,0.4963,0.3293
3.2855632131325265,2.0433,0.682
3.2872401978235954,1.8379,0.5477
3.2889182505462013,2.5342,1.0028
3.290598340051118,2.2401,0.8106
3.292279823894635,1.9454,0.6179
3.2939633504420107,1.7386,0.4828
3.295648275940643,1.0013,0.0009
3.2973352500882696,4.1374,2.0507
3.2990236278193956,1.4308,0.2816
3.300713735480622,1.5974,0.3905
3.3024059007527304,0.7749,0.1471
3.3040994765934237,1.9173,0.5996
3.3057947903614777,3.5974,1.6978
3.307492170756031,3.2943,1.4997
3.3091909687488936,3.2102,1.4447
3.3108915127157457,0.8226,0.116
3.3125938053496604,1.7586,0.4958
