x,axav,err
1.8385714099415713,0.9694,0.0079
2.281366033444012,1.4186,0.1084
2.733168957582422,1.3228,0.0836
3.194281173660933,3.0907,0.5416
3.197478489910786,2.616,0.4186
3.2006794655313753,2.8318,0.4745
3.203884409188654,2.7551,0.4546
3.2070911797525943,2.9129,0.4955
3.210301611769947,2.691,0.438
3.213516323464401,2.6592,0.4298
3.216733779353732,3.0452,0.5298
3.2199536675801945,2.5183,0.3933
3.2231769122297402,2.3651,0.3536
3.2264044447923097,2.4429,0.3738
3.2296350282202018,2.3951,0.3614
3.2328677269842987,2.7256,0.447
3.236103782751578,2.4973,0.3878
3.239344447145419,2.608,0.4165
3.2425869082118317,2.7366,0.4498
3.2458327271376524,2.4675,0.3801
3.2490831630251087,2.5715,0.4071
3.252335386928812,2.5764,0.4083
3.2555909693782006,2.9985,0.5177
3.2588508604949302,2.6464,0.4265
3.2621137980270665,2.6497,0.4273
3.2653791451091716,2.8467,0.4783
3.268647851807878,2.6676,0.432
3.2719208758033673,2.7561,0.4549
3.2751969446204656,2.7411,0.451
3.278475416196578,2.6659,0.4315
3.281757248155711,2.8537,0.4802
3.285043084184386,2.9155,0.4962
3.2883313173118514,3.023,0.524
3.291623233769732,2.964,0.5087
3.2949188359032924,2.5999,0.4144
3.2982184502445673,2.6146,0.4182
3.3015198071419314,2.6204,0.4197
3.3048248501821846,2.8586,0.4814
3.3081335816488404,2.6895,0.4376
3.3114463306175166,2.7249,0.4468
3.314761136570865,2.5807,0.4095
3.3180789762640854,2.7145,0.4441
3.3214014918299366,2.6607,0.4302
3.3247260559689034,2.6963,0.4394
3.328054311433198,2.7063,0.442
3.33138692189828,2.8646,0.483
3.334721573613722,3.2289,0.5774
3.338059587088321,2.6546,0.4286
3.3414019606808263,2.7021,0.4409
3.344747700278818,2.8733,0.4853
3.3480958037586515,2.8433,0.4775
3.3514472694206696,2.7709,0.4587
3.354803438984185,2.8971,0.4914
3.3581623040175623,2.6891,0.4375
3.3615235237497587,2.8229,0.4722
3.3648884418562908,3.1582,0.559
3.368258074670892,3.0238,0.5242
3.3716297199595826,3.1058,0.5455
3.3750047274000106,2.9089,0.4945
3.3783841173488574,3.0449,0.5297
3.3817658508532866,2.935,0.5012
3.385150946188656,2.8185,0.471
3.3885404297939696,2.8944,0.4907
3.3919332790223944,2.8688,0.4841
3.395328806556379,2.7258,0.447
3.3987273523227715,3.061,0.5339
3.4021306387556436,2.8841,0.488
3.4055369457028157,2.616,0.4186
3.4089462708259872,2.8368,0.4758
3.4123586117572215,2.6587,0.4297
3.415775009255985,3.0229,0.524
3.419194421916068,2.8503,0.4793
3.4226171964052474,2.6757,0.4341
3.4260440319712337,2.8532,0.48
3.4294749324186276,2.7897,0.4636
3.43290779424958,2.9973,0.5174
3.436344368191458,3.0411,0.5287
3.4397846558916694,2.9322,0.5005
3.443229365645954,3.0084,0.5202
3.4466760250478097,2.8142,0.4699
3.450126044065092,3.1029,0.5447
3.453580488519829,2.8443,0.4777
3.4570379395602076,2.7735,0.4594
3.460498394458324,2.8767,0.4861
3.4639632808515,2.818,0.4709
3.467430454650811,2.943,0.5033
3.4709017039100574,2.9253,0.4987
3.474377032255046,2.721,0.4458
3.477855722358871,2.828,0.4735
3.481337412306267,2.9003,0.4922
3.484822099183112,2.8825,0.4876
3.488311593262741,2.9892,0.5153
3.4918040856100165,2.8529,0.4297
3.4952992091354527,2.9512,0.4525
3.498798417938676,2.8065,0.419
3.5023017155358493,3.1858,0.5069
3.5058076402720313,3.7634,0.6409
3.509316920893815,3.1659,0.5023
3.512830659747042,2.9668,0.5095
3.5163470200196763,3.0554,0.5324
3.51986710401664,2.9408,0.5027
3.5233916529013523,2.9126,0.4954
3.526919560171864,2.8462,0.4782
3.530450081873529,3.0827,0.5395
3.5339843290866524,2.9559,0.5066
3.5375226758989253,3.1397,0.5542
3.541064751979331,2.9792,0.5127
3.5446090606621703,2.9638,0.5087
3.548157470010398,2.9914,0.5158
3.5517103592829393,2.9668,0.5095
3.555265473851642,3.2172,0.5743
3.5588243155126422,3.0634,0.5345
3.562388019896627,3.4275,0.563
3.565954699971721,4.7661,0.8734
3.569524352163713,3.9327,0.6801
3.5730973533501165,3.6826,0.6221
3.576675227168823,5.3463,1.008
3.5802564533467782,3.7448,0.6366
3.583840264932039,3.2035,0.511
3.5874278065375576,2.9651,0.4557
3.5910202319503366,3.0922,0.5419
3.5946144682601573,3.025,0.5245
3.5982128198487886,3.0111,0.5209
3.601815676444886,3.2014,0.5702
3.60542110645268,3.1607,0.5597
3.6090302681816775,2.8972,0.4914
3.612644329225942,3.0637,0.5346
3.6162609588949564,2.9519,0.5056
3.6198809318964322,2.9627,0.5084
3.6235046378512816,3.0874,0.5407
3.627132861569274,3.0292,0.5256
3.6307648226548843,2.9617,0.5081
3.634399340760465,3.0228,0.524
3.638037592715692,2.7967,0.4654
3.6416799743173383,2.6147,0.4183
3.6453256964341256,3.0998,0.5439
3.648974360396447,3.0403,0.5285
3.6526279500055563,2.9917,0.5159
3.656284480855477,3.0926,0.5421
3.6599443478344336,3.2923,0.5938
3.6636091490128773,3.1869,0.5665
3.66727728878098,2.8476,0.4786
3.6709483635257674,3.0739,0.5372
3.6746231736359194,3.0315,0.5262
3.6783025259091504,3.2412,0.5805
3.681985617463145,2.9873,0.5148
3.685671234098511,3.2723,0.5886
3.6893609914197127,2.9962,0.5171
3.693054485665082,3.1638,0.5605
3.696751717082378,3.0453,0.5298
3.700452277804509,2.9515,0.5055
3.704157392317367,3.1602,0.5595
3.707866246254224,2.8741,0.4855
3.7115780186795466,3.1711,0.5624
3.7152931161777594,3.3699,0.6139
3.7190131851806196,3.0401,0.5284
3.722736168089681,3.0261,0.5248
3.726462473871009,2.9155,0.4962
3.730194173483702,3.1523,0.5575
3.7339287838536652,3.2491,0.5826
3.737666716347119,3.1021,0.5445
3.7414079684474273,3.2463,0.5819
3.745154209655841,3.3121,0.5989
3.748903353188538,3.1915,0.5677
3.7526562333116917,3.1773,0.564
3.7564136909743007,3.0554,0.5324
3.7601748883526858,3.2671,0.5873
3.763938558650178,3.2033,0.5707
3.7677063863339373,3.2446,0.5814
3.7714787976472683,3.4228,0.6276
3.7752553726995632,3.0975,0.5433
3.7790344113627707,3.1957,0.5688
3.78281718509219,3.1195,0.549
3.7866049755398437,3.2545,0.584
3.7903956492231337,3.1632,0.5603
3.7941896296952975,3.1776,0.5641
3.797988633572501,3.104,0.545
3.801790514454243,3.1987,0.5695
3.805596129987437,3.2256,0.5765
3.8094067771691478,2.9789,0.5126
3.813221163298179,3.2269,0.5768
3.817037985261468,3.2324,0.5783
3.820859410148616,3.3907,0.5545
3.8246850066960185,3.2074,0.5119
3.828514776970835,3.2214,0.5152
3.832346972211902,3.2858,0.5301
3.836182899675174,3.5379,0.5886
3.840024316560232,3.5751,0.5972
3.843868590737512,4.5235,0.8172
3.847716157470636,4.651,0.8467
3.851568781826485,3.5722,0.5965
3.8554255850625494,3.5079,0.5816
3.8592847935854393,3.3373,0.5421
3.863148177698383,3.8597,0.6632
3.867015739268258,4.1322,0.7264
3.8708865870442213,3.2794,0.5904
3.874761612385405,3.491,0.6453
3.8786412654421487,3.7102,0.702
3.8825251014616837,3.5228,0.6535
3.886411321665138,3.2012,0.5702
3.89030172116447,3.1494,0.5568
3.894197205577518,3.4004,0.6218
3.8980955177938794,3.3623,0.6119
3.9019975588699345,3.2449,0.5815
3.905904237084427,3.429,0.6292
3.909815556819945,3.3388,0.6058
3.9137292400005186,3.2806,0.5908
3.917647106899111,3.3621,0.6119
3.92156961742457,3.3582,0.6108
3.9254963166627643,3.1849,0.566
3.9294253655346734,3.5198,0.6527
3.9333590599259245,3.3214,0.6013
3.937297404108963,3.3475,0.6081
3.9412385506285936,3.3747,0.6151
3.9451838841889333,3.2501,0.5828
3.949134335806267,3.3798,0.6164
3.9530871181842837,3.404,0.6227
3.957044554799892,3.4551,0.6359
3.9610066498347103,3.382,0.617
3.964972938941338,3.1946,0.5685
3.9689415456269805,3.4998,0.6475
3.9729148119472915,3.3949,0.6203
3.9768927420212195,3.5454,0.6594
3.980874867672673,3.295,0.5945
3.9848597704643915,3.0654,0.535
3.9888483914760484,3.3451,0.6075
3.992842629597038,3.5546,0.6617
3.996839161991994,3.2771,0.5898
4.000840602107193,3.4051,0.623
4.004846477391152,3.3678,0.6133
4.008855114082861,3.445,0.6333
4.012867944391987,3.3801,0.6165
4.016885931138121,3.252,0.5833
4.020908117488719,3.5313,0.6557
4.024933538891706,3.3045,0.5969
4.028962190572598,3.3068,0.5975
4.032996733764224,3.3994,0.6215
4.037034751089825,3.5892,0.6707
4.041075752454598,3.2457,0.5817
4.045120950621325,3.3854,0.6179
4.049171323755101,3.2895,0.5931
4.053224920163224,3.629,0.681
4.0572822254234175,3.43,0.6294
4.0613447121498165,3.4002,0.6217
4.065411155662509,3.3143,0.5995
4.069480814962651,3.3956,0.6205
4.073553932162979,3.4697,0.6397
4.077632733415157,3.5164,0.6518
4.081715738811266,3.5413,0.6583
4.085801954033919,3.4596,0.6371
4.089891373791014,3.379,0.6162
4.093986740041229,3.3732,0.6147
4.098085311110762,3.4811,0.6427
4.102187081602385,3.711,0.7022
4.106294558654586,3.5574,0.6625
4.110405486023405,3.3223,0.6016
4.114519607449424,3.49,0.645
4.118639445094311,3.3412,0.6065
4.12276348888638,3.3044,0.5969
4.126890724159514,3.2975,0.5951
4.131021145264516,3.3021,0.5963
4.135158058940834,3.6526,0.6871
4.13929892621894,3.5077,0.6496
